bunch_number,peak_lumi,intensity_beam_1,intensity_beam_2,pileup
376,-1.4067332E-7,0.0,0.0,-9.59E-5
377,6.387723E-6,0.167,0.162,0.00436
378,-1.1936561E-7,0.0,0.0,-8.14E-5
379,-8.787788E-8,0.0,0.0,-5.99E-5
380,-3.823636E-8,0.0,0.0,-2.61E-5
381,5.903618E-6,0.161,0.164,0.00403
382,-9.8001784E-8,0.0,0.0,-6.68E-5
383,6.2071636E-6,0.184,0.172,0.00423
384,-1.10834605E-7,0.0,0.0,-7.56E-5
385,6.1088863E-6,0.157,0.16,0.00417
386,-1.2615344E-7,0.0,0.0,-8.6E-5
387,5.260641E-6,0.179,0.168,0.00359
388,-1.1181494E-7,0.0,0.0,-7.63E-5
389,5.4015945E-6,0.157,0.161,0.00368
390,-1.323556E-7,0.0,0.0,-9.03E-5
391,6.668842E-6,0.18,0.172,0.00455
392,-1.08717515E-7,0.0,0.0,-7.42E-5
393,5.9314866E-6,0.153,0.156,0.00405
394,-1.2931581E-7,0.0,0.0,-8.82E-5
395,5.164528E-6,0.174,0.163,0.00352
396,-1.5002325E-7,0.0,0.0,-1.02E-4
397,-7.877466E-8,0.0,0.0,-5.37E-5
398,-6.470095E-8,0.0,0.0,-4.41E-5
399,4.5799825E-6,0.164,0.171,0.00312
400,-1.4590475E-7,0.0,0.0,-9.95E-5
401,9.48049E-6,0.189,0.18,0.00647
402,-4.583967E-8,0.0,0.0,-3.13E-5
403,4.4783824E-6,0.16,0.162,0.00305
404,-1.3544688E-7,0.0,0.0,-9.24E-5
405,6.375366E-6,0.183,0.174,0.00435
406,-8.210728E-8,0.0,0.0,-5.6E-5
407,5.2105224E-6,0.163,0.164,0.00355
408,-1.4362472E-7,0.0,0.0,-9.8E-5
409,7.965411E-6,0.186,0.177,0.00543
410,-9.993787E-8,0.0,0.0,-6.82E-5
411,4.0147174E-6,0.157,0.158,0.00274
412,-1.6852098E-7,0.0,0.0,-1.15E-4
413,8.034474E-6,0.183,0.168,0.00548
414,-1.0261104E-7,0.0,0.0,-7.0E-5
